S.No,Comments,Label,Unnamed: 3
HATE_2775,Mamauluga undhadhu mari ntr anthe,non-hate,
HATE_2776,mI phyAmilI lo nAku nachchiMdi nuvvu anna karèkT gA mATlADutAv,non-hate,
HATE_2777,nuvvòkkaDive mi phyAmilI lo aMdarito kalisipoye guNaM kaliginavAru brother,non-hate,
HATE_2778,"èMduko nuvvaMTe nAku eatam anna
vedaM sinimA chUsinappaTi nuMDI decide ayyanu  Your my brother",non-hate,
HATE_2779,Adhi ento  nuv wrong family  lo unnavu bronee speech  lo compulsoryga social  responsibility  untundhihats off to you,non-hate,
HATE_2780,baDA baDA DairèkTars aMdarU manoj annato sinimA èMduku tIyaru èppuDU mègA phyAmilI enA phAloyiMg unna hIro lenA jai manoju annA,non-hate,
HATE_2781,Manoj okkade odd man out in manchi family ,hate,
HATE_2782,Manchu family ki inka respect undi ante adi only nee valle manoj anna,non-hate,
HATE_2783,Manchu family ni nvve kapadali anna,non-hate,
HATE_2784,Manchu Family Paruvu kapade Manishi Nuvvu Okkade anna,non-hate,
HATE_2785,Nenu oka NTR fan ga chepthuna heart touchesaru sir mee speech tho hats off sir,non-hate,
HATE_2786,nenu pavan kaLyAN chèppina tarvAta mI sinimA chUshAnu chAlA bAguMdi,non-hate,
HATE_2787,Manchi cinema ni prathi okkaru aadaristaruall the best nikhil have a bright future,non-hate,
HATE_2788,Ippati varaku peddha heroes ki chinna actors kaka pattaru Ika nunchi pedda heroes thodalu kottada lu meesaalu meda gokkodalu manesi chinna heroes ki value iche time vachesindhi,non-hate,
HATE_2789,Samudramlo alalu aagavu Harsha Anna ki anna meeda prema chavadi,non-hate,
HATE_2790,samudraMlo alaluMTe aMdaM mA guMDèllo harSha sAyi anna uMTe AnaMdaM,non-hate,
HATE_2791,nna nuv chesina help ki vallaku edho oka chinna avasaralaku panikosthundhi harsha sai love you anna,non-hate,
HATE_2792,ANNA nee voice ante naku chala istam ,non-hate,
HATE_2793,harSha nI manasulage nI rUpaM kUDA aMdaMgA uMdi,non-hate,
HATE_2794,Smile chudanidhe venakki thaggavu bro nuvvu ,non-hate,
HATE_2795,"harSha sAyi phyAns èMtamaMdi unnAru
ikkaDa A man with golden heart",non-hate,
HATE_2796,Vinayaka chavithi subhakanshalu Harsha sai,non-hate,
HATE_2797,Harsha anna ni kalavaali okkasaraina,non-hate,
HATE_2798,mIlAMTi vALLani devuDu challagA chUDAlani sAr harSha sAyi anna,non-hate,
HATE_2799,Hi harshahappy vinayaka chavithi  life long nuv happy ga undalaniaa devunni korukuntunna saimay god bless u  harsha,non-hate,
HATE_2800,"Hii Bagunnara Harsha Sai garu  meku Mee team members ki happy vinayaka chavithi
",non-hate,
HATE_2801,Jai Prabhas Anna AraDugula òka maMchi maniShi,non-hate,
HATE_2802,saMtoSh shobhan maMchi yAkTar kaLa anedi òka prAMtAniki parimitaM kAduvishvavyAptamaiMdi,non-hate,
HATE_2803,"
polIsollòchchi ‍yeTuku baTTukuMTAru ",non-hate,
HATE_2804,Chiranjeevi be like  arey em matladuthunnavra,non-hate,
HATE_2805,KCR DairèkT gA praNab mukharjI kALlu mòkkI nappuDu emaiodi,non-hate,
HATE_2806,Evari Cheppulu moyataniki prajalu ninnu gelipinchaledu Bandi,hate,
HATE_2807,akkaDavaraku vèLlinavADu chèppulu vesukuMTADu kadA vIDi ovar yAkShan,non-hate,
HATE_2808,muMdu kaLLu taruvAta rALlu tèlivi unna vAru chese pani itarulato mariyAdagA uMDAli mari bAnisala kAdu,non-hate,
HATE_2809,anna maMchi pani chesAv oke kAnI janmanichchina amma nAnna laku kUDA ide sevA cheyi,non-hate,
HATE_2810,"
emuMdi padavikosaM gudhdha kUDA nAkestAru I rAjakIya rAbaMdulu",non-hate,
HATE_2811,Em bathuku ra Nidhi oka MP vi state president vi  nuv slippers moyadam entra vedhava  telangana ijjath tisinav,hate,
HATE_2812,vILLani nèTTese vADèvaDo chUDAli,non-hate,
HATE_2813,ilAMTi panikimAlina vIDiyolu chAlA chUshAM mitramA pUrti vIDiyo pèTTi uMTe bAguMDedi mitramA,non-hate,
HATE_2814,Naku prabhas anna ento rana anna kuda antey,non-hate,
HATE_2815,Industry lo òkka remark kUDA leni phyAmilI edainA uMdA aMTe adi One And Only Victory Venky Anna Gaari Family Superb Raana Anna,non-hate,
HATE_2816,saut guriMchi takkuvagA mATlADinoLLe tèlugulo pATa pADutuMTe vinaDAniki chAlA bAguMdi,non-hate,
HATE_2817,E desham lo anni rajakiya nayakula vigrahalu ilagey padipovali,non-hate,
HATE_2818,ee desham lo politians purugulu paati nasinam kavali,hate,
HATE_2819,kòpanAti kRRiShNamma gAru vigrahaM paDipoyiMdani saMtoShapaDutunnArA eM manuShulurA chètta manuShulu pakkana èvaDu ADu paDipoyiMdi paDipoyiMdi adi annADu ,non-hate,
HATE_2820,manaM èkkaDa nuMchi vachchAmo dAnni marchipoyye vALLu unnA Irojullo èMta èdiginA vòdige uMDAli annA mi simply sity ki nA ,non-hate,
HATE_2821,Are yAdava llA rA megastar taravAta pavan kaLyAN rA  chiru sar Ayana Vera leval jai bAlayya,non-hate,
HATE_2822,pavitra baga denguchiko naresh tho,hate,
HATE_2823,pavitra ni gudda awesome ni age ni figure ki salute,hate,
HATE_2824,sharvAnaMd gAru vachchina kòttalo saMkrAMti sinimAlo yAkTiMg rojullo  kèrIrlu chinni hIrogA  migilipotAru anukunnAnu  kAnI maMchi laiph vachchiMdi iMkA pèdda hIro kAvAlani A devuni maMchi bhaviShyattu uMDAlani korukuMTunnAnu,non-hate,
HATE_2825,denini kaMdiMchi deshaM mòttam atyavasara vidhichAli òka gòppa vArta prasAraM chesina TIvIonezero ki golDèn glob avArDu ivvAli,non-hate,
HATE_2826,Nalla Baalu nuvvu evadara  jagan anna ni tidava,hate,
HATE_2827,sAr mIru  chAlA bAgA nijAlu mATlADutAru  nijaMgA namaskAraM  sAr,non-hate,
HATE_2828,Konda anna mi attitude ki salute,non-hate,
HATE_2829,manuShullo nallagA unna vArini muddugA nala baMgAraM ani pilustAruaMtegAni èrra baMgAraM ani èkkaDa pilichina dAkhalAlu leva,non-hate,
HATE_2830,mIru A sthAyilo uMDi kUDA mI snehituni parichayaM cheyaDaM AnaMdakaraM,non-hate,
HATE_2831,"reShan kArDu tIsesinA manaM emi chesedi le
pèTrol reTu pèMchesinAemi chesede le
 eightlakShala koTlu appu chesina manaM emi pekede le ",non-hate,
HATE_2832,"
tAggi vAgutuMdi pApa Imè chilakalUrapeTalo rikArDiMg DAnsru ",non-hate,
HATE_2833,sharmila nuvvu ooriki ki poyi record dancelu cheskho,hate,
HATE_2834,movie peru three lanjas samanthamanchu vishnu swara bhaskarmanuch akkaanasuya,hate,
HATE_2835,anasuya lavada mokahi fourzero ellu aunty anukunda babu annala,hate,
HATE_2836,anni uchitaMgA ammabaDe lauDAbaDi anukuMTa anni uchitaMgA chestAnani appulapAlu cheshADu rAShTrAnni,non-hate,
HATE_2837,ènakaTi rèDDi kUDA TIvI sTUDiyolo kUrchovaDaM tèlugu vALLa durbhAgyaM,non-hate,
HATE_2838,Venkat reddy ki buddi pagilindi anudke noru mosukohni vundali ,hate,
HATE_2839,e rA vaMkara rèDDi èlA puTTi uMTAvo nAku arthaM kAledu,non-hate,
HATE_2840,siggu vundali amma jagan lanti erripuk kanna anduku,hate,
HATE_2841,Kcr vadu vadi banda karre muku esjoni ma modi tho callenge ha,hate,
HATE_2842,fourzero saMvatsarAlu rAjakIya anubhavaM,non-hate,
HATE_2843,keshineni nAni lekapote TDP ki UDedemuMdi iMta ovar chesevADu avasaramA pArTIki,non-hate,
HATE_2844,vIDiki nijaMgA besik sèns ledu chUste tèliyaDaMlA,non-hate,
HATE_2845,chaMdrabAbu shivuDu lAMTi vADu viShAnni kUDA tanaloki tIsukuMTADuika ilAMTivi òka lèkke kAdu,non-hate,
HATE_2846,aMta chirAggA vuMTe sTej mIda ki èMdukèllAr sAr,non-hate,
HATE_2847,rajakeeyanayakulu kuda lanjala ey vellu party marututaru vallu illu marutaru,hate,
HATE_2848,kodali nani ki caste pichi valla kulum ayithey pellam kuda gift gah istharu,hate,
HATE_2849,Mamulu ga evvaledhu ga anchor anna,non-hate,
HATE_2850,jai cbn jt sr ntr nenu mi tdp supporter na pranam istha,non-hate,
HATE_2851,sIniyar kAbaTTi keshineni gAru CBN ki iste bAguMTuMdi ani jayadev anukunnADu èvariste yemuMdi le nuvve ivvu ani nAni vènakki jayadev ke ichchADuiMdulo eM kanipiMchiMdi rA mIku NEGATIVE mind set Burgers,non-hate,
HATE_2852,modI pèdda DrAmA ve ArTisT vènaka DairèkT chesedi kArpòreT kaMpènIlu,non-hate,
HATE_2853,hRRidaya vidArakaMgA vuMdi advAnI gAruone of the founder of BJP time vastuMdi aMdarikI,non-hate,
HATE_2854,sitharaman oka sudda pappun siggu ledhu asla mms valla india ela atani economic policy valle india three trillion economy ayindhi ,hate,
HATE_2855,nuvvu poyyi modi modda cheku mms oka great econmist ani prapamcham anukondhi antanu lekunte india ledhu,hate,
HATE_2856,edhi Carect kadu modhi garu papam kovindh garini ala avamanaparachadam carect kadu,hate,
HATE_2857,"
Dr YNM
one month ago
iMdulo manaM pèddagA AlochiMchAlsina avasaraM ledu aMtA kAlaM mahimaedo òkaroju kAlaM Ayanaku ivvavalasina giphT tappakuMDA istuMdi chesina karmalu anubhaviMchaka tappadu soniyA gAMdhI ayinA modI ayinA chaMdrabAbu nAyuDu ayinA jagan ayinA kAlaM aMte",non-hate,
HATE_2858,bAbu chAlA‌‌ èdigipoyADayyAbAboy pa0chulu èstunnADu bhayyA,non-hate,
HATE_2859,nIvu tèlugu iMta chakkagA mATlADu tuMTe mana chinna bAbu anukòni uMDaDu ayite bèMgaLUr insTiTyUT lo bAgA nerputunnAru tèlugu,non-hate,
HATE_2860,pApaM atanu òka udyogi atanu sAkShi dinapatrika onar kAdu atanni paTTukòni èMdukurA nIku,non-hate,
HATE_2861,bandi sanjay ni bandi  lo vunna engine  degindhi andhukey pichi pichi matladutunnaru,hate,
HATE_2862,rohit sharma kulubothu na koduku Asia cup kuda tesukorale malla vadini virat lo poluchutaru,hate,
HATE_2863,indian player aata radhu padhu semifinals piles anni modalo jabbulu vachi odipotaru,hate,
HATE_2864,asla semi finals vache saraki prathi vadu moddalo gameolay anni appudey bayathutahai,hate,
HATE_2865,middle order marchu vinnale world cuo degindhi asia cuo dengindhi poyi gully circket adukondi,hate,
HATE_2866,bhuvi adhey onenineth over lo madien cheasaru enti moddalo srh key adhey ki maiden kuda avasaram ledhu oka onenine runs ichi dengi match odipincharu,hate,
HATE_2867,iTuvaMTi vAllu èppaTikI neruchukòru,non-hate,
HATE_2868,vADu jIvitaMlo Train krAsiMg ayite twozero aDugula dUraMlo uMTADu siggu sharaM uMTe saMvatsaraM varaku Train kUDA èkkaDu,non-hate,
HATE_2869,jIvitaMlo maLLI ilAMTi nirlakShyaMgA uMDakuMDA jarigiMdi viDini chUsi iMko onezero maMdi mAratAru,non-hate,
HATE_2870,A baik vADini uri shikSha veyAli,hate,
HATE_2871,moDI advAnI gAru pèTTina bikSha pèTTAru kAbaTTe nuvvu ipuDu ilA pradhAni sthAnaMlo unnavani maravaku chAyi vAlA maravaku gatAnni,hate,
HATE_2872,advAnI gArinI pATiMchukoledu aMTe iga ni patanaM mòdalainaTTe ayana vALla pArTi aMtA èdigiMdi,non-hate,
HATE_2873,"
sariggA chUDaMDI akkaDa viggurAju unnADu abbA…",non-hate,
HATE_2874,namaskArAniki pratinamaskAraM saMskAraM,non-hate,
HATE_2875,vADi asalu rUpaM ade  èvarini èppuDu vADukuni vadileyAlo vADi kaMTe e rAjakIya nAyakuDiki tèliyadu,non-hate,
HATE_2876,"InATi bIjepI deshAnni èlutuMdaMTe dAniki advAnIgAri kRRiShi chAlAvuMdi
moDIgAru ilA ",non-hate,
HATE_2877,appuDu rAjakIya èdugudalaku kArakulayina advAnI gArni avamAniMchAru ippuDu padavIviramaNa chesina koviMd gArini avamAniMchAru nyAyamA modI gAru,non-hate,
HATE_2878,Love story muddulu kadu sannivesam site ranam lo scenes lo love chala baga chupicharu movie,non-hate,
HATE_2879,Ekkada paTTukunnAru vèLLipoyADu gA,non-hate,
HATE_2880,èkkaDa paTTukunnAre talliAmè kUDA vèLLipoyiMdi dòMgalu pAripoyAru gA,non-hate,
HATE_2881,ee movie theatre lo chudakapote tarwata mere feel avutaru Excellent movie,non-hate,
HATE_2882,Bangaram lanti wife failure kuda supporting ga undi kani veedu vini veshalu,non-hate,
HATE_2883,arshadeep ni asla enduku tisukonnario telidhu vadiki simple catches kuda vadili dengaru ha moddalo feilding kante pakistan feilding melu,hate,
HATE_2884,vijay shankar anna threed anna enti anna na lavadio batting modalo feilding inka no ball eesidenagtuavu nuvvi threed enti,hate,
HATE_2885,snow family ela bathukundhi ante burdha pandi bathukundhi nenu bathuthunnanu,hate,
HATE_2886,kl rahul ipl baga adutavu india ki moda laga adutavu preity tho night out ha enti,hate,
HATE_2887,preity zinta oka bazzar kukka team tesukovadam kuda radu,hate,
HATE_2888,kavya papa circket meda avagahana ledhu ma aubction dengi mataldutnadhi,hate,
HATE_2889,vijay mallya nirav modi kapadindhi bjp malla ha baate shah gadu nak emtelidhu antaru,hate,
HATE_2890,Rey yendhuku ra puri garu cheppindhi okkati miru chupinchedhi  inkotirava annadu puri garu dhani vere laga cheptharu  andhuku ra ,hate,
HATE_2891,tyson rey puri inko sari ni mokham choopistahe egiri egiri dengutha,hate,
HATE_2892,"Naarappa theatre lo vachedi unde
Motham kcpd untunde",non-hate,
HATE_2893,iTuvaMTi chAvu rAvAlaMTe èMta puNyaM chesi uMDAlo     mI Atmaku shAMti kalagAlani korukuMTunnAnu,non-hate,
HATE_2894,varini yAchiMchani jIvitaM AyAsaM leni maraNaM maraNaM taruvAta nIlo aikyaM kAvAli ani aShTa diggajAlu lo òkaru aina dhUrjaTi kavi chèppAru         adRRiShTa vaMtuDu,non-hate,
HATE_2895,deshAniki panikòchche iTuvaMTi vAru nòppi lekuMDAne prANAlanu vadulutAru,non-hate,
HATE_2896,aMtechAvu èppuDu eM rUpaMlo vastuMdo tèliyadu òka chèTTu nuMchi èMDina Aku rAlinaTTu gAli vIchinaTlu sahajaMgA jarugutuMdi prANaM potuMdi,non-hate,
HATE_2897,puNyAtmuDuAyana Atmaku shAMti kalagAli,non-hate,
HATE_2898,nijaMgA sUpar  puNyAtmuDu  ilAMTi chAvu rAvAlani aMTe èMto puNyaM  adRRiShTaM uMDAli ani nA bhAvana,non-hate,
HATE_2899,bharata mAta òDiloki òrigi poyADu dhanyuDu amar rahe maLLI òka sainikuDu lAga puDa tADu,non-hate,
HATE_2900,chAlA adRRiShTavaMtuDu maMchi vAriki alAne chAvu vastuMdemo,non-hate,
HATE_2901,RIP  Sunaayesena Maranam chaala Goppa vyakthi and even Abdul Kalam Died in the same way,non-hate,
HATE_2902,Valla husband koda intha la thalchukodura nayana,non-hate,
HATE_2903,sooraj oka rapist malla sulli bhai suport okati,hate,
HATE_2904,jihah khan sucide ki karanam sooraj altanchdi sulli bhai mafia support free vare ammailtho dengithunaru,hate,
HATE_2905,sooraj inka valla daddy oka rapist rapist family gudda mi dabbulu valla safe malla modi give respect to women anta,hate,
HATE_2906,liger movi bAguMdi but hIro ki natti èkkuva gA uMDaDaM valla sinimA poyiMdi aMte                                                             ,non-hate,
HATE_2907,Tega feel ayitunnadu  adhe vere hero ayithe notikochinattu vaagutunde,non-hate,
HATE_2908,Anna ni fan nenu evi Niki anavaram,non-hate,
HATE_2909,VD gudda mi ekkuva attidude andheukey movie assam ki dengindhi,hate,
HATE_2910,Ore teenmar mallanna pedda thopula feel kaku,non-hate,
HATE_2911,Mundhu nuv e cinemala gurinchi apu ayya Nduku niku respect ivaniki radhu m radhu,non-hate,
HATE_2912,"Flop ante eante  bayya
Neku thilusa
Nuvvu thisava movie
Nuvvu produce  chesava
Nuvvu chusava
Ne abba
Nuvvu chudara movie first ",non-hate,
HATE_2913,bhArata deshaMlo pAlana chetakAni sIèM pAlana cheta kAka vere vALLani vimarshiMche ekaika sIèM mana batAla poShèTi,non-hate,
HATE_2914,kcr niku baga ekkuva ayidhi anni moukni cm avvu next karre mukku ki cm endhuku ra lanje boss,hate,
HATE_2915,basavaraj oka daridurudu hindu ante challu vadu rapist ayina parle vadithine kapuran chestharu,hate,
HATE_2916,modi ki cheppu neku oka yogi ante chaalu nee vuncha kuda tagutaru,hate,
HATE_2917,I duniyalo sigguleni mukhyamaMtri mIre sar kèsiAr gAru,hate,
HATE_2918,mI mATalu viMTe tèlisiMdi mIku kamansèns ledani,non-hate,
HATE_2919,aMTe pedavALLu upanyAsAlu chèppakUDadu aMTAvA  Ayana threezero koTla prajalaku mukhyamaMtri,non-hate,
HATE_2920,aMkul aMkul yogito pèTTukovaddu aMkul vyAn tiragabaDipotAyi,non-hate,
HATE_2921,Sir mIru èvarito ayina pèTTukoMDi kAnIyogi gAri to vaddu,non-hate,
HATE_2922,pragya thakur oka dogga baba dani endhuku mp ayindho telidhu pichipuk janalu andhey north india ala vundhi,hate,
HATE_2923,èvvarèM anukunnA nijAnni nirbhayaM gA chèppaDaM lo mIru taggedele guruvu gAru,non-hate,
HATE_2924,samAjaM mAraDaM aMTe chAlA kaShTaM  mI pravachanAlu viMTU kòMtamaMdi ayinA mArutArani AshiddAM guruvugAru,non-hate,
HATE_2925,taggeèdele shrI rAma chaMdruDuharishchaMdruDu lAMTi vAru anAlismugglers kAdu mIru asalaina hIro guruvu gAru,non-hate,
HATE_2926,"mI  pravachanAlato  dharmAnni prachAraM chestU kApADutunnAru mIru bhArata deshAniki nijamaina mArgadarshi guruvu gAru
mIku pAdAbi vaMdanAlu",hate,
HATE_2927,"guruvu gAri avedanalo arthaM uMdi
mIku nenu manaspUrtigA pAdAbhivaMdanaM chestunna",non-hate,
HATE_2928,kaDigeyaMDi mIru samAjAnni  nAku bAdhagAne uMdi guruvugAru,non-hate,
HATE_2929,garikapATi narasiMhArAvu gAriki padmashrI avArDu rAvaDaM chAlA chAlA AnaMdaMgA uMdi Ayana upanyAsamu bhAratadesha yuvataku AdarshaM  Ayanaku marènno gauravAlu labhiMchAlani manasArA korukuMTUvaMdanamulu,non-hate,
HATE_2930,garikapATi vAru nijame chèppAru,non-hate,
HATE_2931,garikapATi gAru bAgA chèppAru chèDunu hailèT cheyaDaM dvAra yuvata tvaragA phAlo ayi vAru samAjaM chèDuvi guravutunnadi,non-hate,
HATE_2932,chAlA yUTyUb chAnallalo mIru chèppina garikapATi vAri abhiprAyaM prachAramautunnadi vATi kiMda kAmèMTulanu sinimA raMgaM vAru chadivite prajAbhiprAyaM tèlustoMdi emainA anukoni anukuMTe òkanADu vAri bhAryApillalapai ade prabhAvaM paDavachchu chivaragA budhdhi chèbutuMdi…,non-hate,
HATE_2933,sonam kapoor ni rape nadhi road o vadhileyala,hate,
HATE_2934,alia bhatt cheshe overaction ki hatsoff ,non-hate,
HATE_2935,first koja johar ni india nunchi tarmidengithe sangam pedha pothadhi,hate,
HATE_2936,gArika pATigAri to nenu kUDA ekIbhavistunnAnu,non-hate,
HATE_2937,alsa janalu erripuk galu jagan ni cm cheyadam enti ,hate,
HATE_2938,nenu vaissArsIpI pArTI kAryakartanu ayinA kUDa tèlugu rAShTrAla tarapuna keMdraM to dITugA mATlADina I nAyakuDiki pArTIlaku atItaMgA sèlyUT chestunnAnu,non-hate,
HATE_2939,kòMchaM ghATugA vyAkhyAniMchAru kAnI nijaM ade kadA…,non-hate,
HATE_2940,A Dabbu kUDA dòbbADu mA mukhyamaMtri,non-hate,
HATE_2941,Tèknikal prAblao ani siMpul gA telchAsAru ,non-hate,
HATE_2942,bAla yogi erraM nAyuDu lAljAn bAShA mugguru chaMdrabAbu tayAru chesina lIDars,non-hate,
HATE_2943,chaMdrabAbu nAyuDu gAri peru chèpte emi cheyaleDu kAnI jagan gAni peru chèpte ninnu bòkkalo vesi kummutADu,non-hate,
HATE_2944,nIku maLLI iMko chèMpa dèbba tagilite buddhi rAdu anukuMTA ,non-hate,
HATE_2945,vIDu poTIcheste vArDu nèMbar kUDA gèlavaDu vIDu chaMdrabAbu nAyuDu gArini TArgèT pèTTukòni tèlaMgANalo chèMpa dèbbalu tinnADu,non-hate,
HATE_2946,pichi lanjakodukuvi Chandra Babu Kali gotiki saripovu,hate,
HATE_2947,Hero ni Baga encourage chestundi papa,non-hate,
HATE_2948,onezerozero cr cheralante fivezerozero cr petti movie thiyyali,non-hate,
HATE_2949,nuvvu edo òka roju onezerolakShala klab lo khachchitaMgA cherutAvu annAcherutAv…,non-hate,
HATE_2950,Acting super undhi ga bro just story lo dammu ledh,non-hate,
HATE_2951,anusya potti potti dress esukoni expose chesthe hot rape sexy fogure comments tappa em vasthaai,hate,
HATE_2952,Avnu anna inni rojulu vAni vIDiyos chUsA but vALlu ilAMTi kyArèkTar worrust chillara gALlu,non-hate,
HATE_2953,TikèT Dabbulu to vILlu dòbbi tiMTunnAru,non-hate,
HATE_2954,Enti villu ee cinema ni oka bahubali kgf kante ekkuva uhinchukuntunattu unnarupapam picchi vedava,non-hate,
HATE_2955,Ila extras cheyadam Cinema ki karchu pettam so people should pay fourfivezero antaaru,non-hate,
HATE_2956,Cinema karchulakantey ee karchule ekkuva papam producers ki,non-hate,
HATE_2957,Mana paisal tovallu njoy chestunnaru mundu manaki buddiledu,hate,
HATE_2958,ponI AMdhrapradesh ku separate karènsI noTu pèTTI noTlu guddu jagan anna gAMdhi gAri phòTo badulu nI phòTo pèTTu anna ,non-hate,
HATE_2959,iMta tèlivaina mukhyamaMtri ni ènnukunnAru,non-hate,
HATE_2960,basavraj oka rapist gadini support chesthunnadu endhuku vadu brahmin kabati,hate,
HATE_2961,himanata asala siggu ledhu kerjiwal lanti valla pettukovadaniki,hate,
HATE_2962,anno manaki kUDA òka miShan aDugu kòTTukuMdAM,non-hate,
HATE_2963,jagan amma vadi dabbulu pettali nanna gudda lo nunchi leppali,hate,
HATE_2964,annAmanaM kUDA òka mèShinI kònukkuMdAM maname guddukuMdAM,non-hate,
HATE_2965,annAòkko sachivAyaMki òkko miShan ichchi paDey annAtarvAta chUsukuMdAM…,non-hate,
HATE_2966,nehru amman denga ni valla india pakistan godava inka vundhi,hate,
HATE_2967,nèksT  appu dòrakkapote  anna  chese pani ade  …,non-hate,
HATE_2968,èMdaro  mahAnu bAvulu  vuMTAru vALlu Urikène uMDaru,non-hate,
HATE_2969,"
lakshmankumar kavali
Next Step is tdp vallu money print cheyakunda adukuntunaru ane press meet pette mare chepatadu",non-hate,
HATE_2970,RBI appu ivvakapote keMdraM mèDalu vaMchi phriMTiMg miShan tIsukòstAnu ani mATistunna,non-hate,
HATE_2971,AMdrAni vènijulAshrI laMkala chèyyAli ani kaMkaNaM kaTTukunnAM annamATa,non-hate,
HATE_2972,andhra ni dengali ante jagan abivudri ante cbn,hate,
HATE_2973,iMta parij~nAnaM unna sIèM AMdhraki sIèM kAvaDaM ènno janmala puNyaM,non-hate,
HATE_2974,"
annayya priMTiMg miShan dvArA sixzeroninethree koTla rUpAyalu van De priMTiMg",non-hate,
HATE_2975,Iyana gAru emi mATlADatADo tèliyadu,non-hate,
HATE_2976,annA kònni miShan lu  aDugu anna work from home  chesukuMTU nIku kòMta kamiShan istAnu,non-hate,
HATE_2977,jagan gabbu gadu cbn pettina manchi padakalu ni tolagichi auto valla ki onezerozerozerozerors esthunnaru,hate,
HATE_2978,Free ga icchina cinema theatre deggariki kuda evvadu raadu,non-hate,
HATE_2979,Son of india ticket booking records ni baddalu kottaalani asisthunnanu,non-hate,
HATE_2980,Aha atna son of India ki theater lo okkadaina unnadu ticket rate penchithe aa okkadu kooda undadu appudu house full kaadu house nill avvuddi,non-hate,
HATE_2981,vADu edo jok cheste adi nuvvu nammaDame nA,non-hate,
HATE_2982,arey meru mi chillaru mokhalu chillaru jokes vaddu ra babu ,hate,
HATE_2983,jabadrasth oka chillaru show  anni double meaing daniki lnja roja inka rashmi,hate,
HATE_2984,roja oka noru vunna pichi lanja noru vundhaani edho edho matladthi,hate,
HATE_2985,eii yevudra veedu andanga vunnav antunnadu akka antunnadu,non-hate,
HATE_2986,Jagartha antunadu andham antunadu akka antunnadu ento veedu em ardham kavadam ledhu em antunado ardham kavadam ledhu antha confusing ga vundhi ,non-hate,
HATE_2987,manamu  THE DSP MAGIC ni miss avuthunam in AUDIO LAUNCHES,non-hate,
HATE_2988,Andhra police meedha eppudo nammakam poyindhi,non-hate,
HATE_2989,annichoTla ilAge bAdha pèDutunnaru sAr  polIsulu,non-hate,
HATE_2990,A vèrri vèMgaLappa mòhaM eMdirA nAyanA,non-hate,
HATE_2991,tèlugu lo mATlADaDA  adi jaganIs kadA   kòMpa tIsi ramaNa gAriki jaganIs vachchemo ,non-hate,
HATE_2992,dolund oka oka daridudu asla valla hate crime ekkuva ayindhi vadi valla vadu vari donga buddi,hate,
HATE_2993,mAtRRi bhASha tèlugu aMTe aMta lokuvA    pakka rAShTrAla vALLu vAri mAtRRi bhASha ki èMta gauravaM ichchu kuMTAro chUsi nerchukoMDi,non-hate,
HATE_2994,sAkShi èppuDu karèkT rAsiMdi adi èppuDu tappe rAstuMdi,non-hate,
HATE_2995,ilAMoTi tappulu chAlA rAsiMdi nI avinIti patrika,non-hate,
HATE_2996,I roju mukhyamaMtri gAru kUDA òppukunnAru sAkShI lo vachchevi tappani,non-hate,
HATE_2997,bonda uma dhi oka kukka jeevitham adeskha,hate,
HATE_2998,Sakshi correct eppudu rasindani Meeru mee jokulu,non-hate,
HATE_2999,Cut paste video cut aaeindhi,non-hate,
HATE_3000,sAkShi aMTene abaddalaku care of address,non-hate,
HATE_3001,chèppedi pUrtigA chèppaniste saripotA di,non-hate,
HATE_3002,Pk Power supplylo meru okka star,non-hate,
HATE_3003,na life lo anna ute nenuu vutha,non-hate,
HATE_3004,Idhi matram correct bro ayana gelavadam maki avasaram simple ga cheppalantenijanga ayana dabbulu sampadhinchalante yearly onezerozero crores cinemallone easyga earn cheyagaladuyevadiki dabbulu longalsina avasaram ledhu,non-hate,
HATE_3005,Hatsoff to you bro e mattalu andhru artham chesuko vali,non-hate,
HATE_3006,mai lav ènTIAr ai lav yu ènTIAr,non-hate,
HATE_3007,ahaMkòvvuIgo èkkuvayite aMte meDaM,hate,
HATE_3008,I mATalato nI mIda unna gauravaM poyiMdi tU,hate,
HATE_3009,chiraMjIvi gAru manasulo eM pèTTukokuMDA aMta maMchigA mATlADiMDunIku  kòvvu èkkuva aMdukani iTlA mATlADutunnAv,hate,
HATE_3010,Dheeni Dhrustilo idhi okkate Pedhha  sincere Politicion migatha vallu time pass chesevalluasal aa Body Language endhi,hate,
HATE_3011,"dIniki chAlA balupu pògaru aMduke dInibratuku ilA uMdi Ayana aMta premagA mATlADinA A gauravAnni kUDA tappu gA ardhaM chesukune ilAMTi daridrapu muMDa lani dUraMgA uMchAli
",hate,
HATE_3012,ilA vAge ChI ani parishrama pèddalu dUraMgA pèTTa ru maheSh maLLI daridrani maLLI sTejI mIdaku tèchchADu twozerosaM chiru chAlA naShTapoyAru,hate,
HATE_3013,bòkkaloDidi saradAgAnA kAdu prematonIlAMTi panikimAlina vArini kUDA prematomATlADaDaM Ayana chesina tappu nuvvèkkaDa mègAsTAr èkkaDa,hate,
HATE_3014,keshineni nAni lekapote TDP ki UDedemuMdi iMta ovar chesevADu avasaramA pArTIki,hate,
HATE_3015,Yevaremanukunna CBN gaaru valuable person,non-hate,
HATE_3016,MLA ayina MP ayina geT bayaTe vuMDAli,hate,
HATE_3017,vIDiki nijaMgA besik sèns ledu chUste tèliyaDaMlA,hate,
